epoch,step,test_AUC,test_accuracy,test_accuracy_macro,test_accuracy_normal,test_accuracy_pac,test_accuracy_pvc,test_f1,test_f1_macro,test_f1_normal,test_f1_pac,test_f1_pvc,test_loss,test_ppv,test_ppv_macro,test_ppv_normal,test_ppv_pac,test_ppv_pvc,test_sensitivity,test_sensitivity_macro,test_sensitivity_normal,test_sensitivity_pac,test_sensitivity_pvc,test_specificity,test_specificity_macro,test_specificity_normal,test_specificity_pac,test_specificity_pvc,train_AUC,train_accuracy,train_accuracy_macro,train_accuracy_normal,train_accuracy_pac,train_accuracy_pvc,train_f1,train_f1_macro,train_f1_normal,train_f1_pac,train_f1_pvc,train_loss,train_ppv,train_ppv_macro,train_ppv_normal,train_ppv_pac,train_ppv_pvc,train_sensitivity,train_sensitivity_macro,train_sensitivity_normal,train_sensitivity_pac,train_sensitivity_pvc,train_specificity,train_specificity_macro,train_specificity_normal,train_specificity_pac,train_specificity_pvc,valid_AUC,valid_accuracy,valid_accuracy_macro,valid_accuracy_normal,valid_accuracy_pac,valid_accuracy_pvc,valid_f1,valid_f1_macro,valid_f1_normal,valid_f1_pac,valid_f1_pvc,valid_loss,valid_ppv,valid_ppv_macro,valid_ppv_normal,valid_ppv_pac,valid_ppv_pvc,valid_sensitivity,valid_sensitivity_macro,valid_sensitivity_normal,valid_sensitivity_pac,valid_sensitivity_pvc,valid_specificity,valid_specificity_macro,valid_specificity_normal,valid_specificity_pac,valid_specificity_pvc,phase
10,1352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9075875282287598,0.5120874047279358,0.5120874047279358,0.992214560508728,0.050000000745058,0.494047611951828,0.5507423877716064,0.5507423877716064,0.9594311714172364,0.0869565233588218,0.6058394312858582,0.313213974237442,0.6816990375518799,0.6816990375518799,0.928744912147522,0.3333333432674408,0.7830188870429993,0.5120874047279358,0.5120874047279358,0.992214560508728,0.050000000745058,0.494047611951828,0.8369488716125488,0.8369488716125488,0.5319148898124695,0.9984894394874572,0.9804421663284302,
10,1352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9671659469604492,0.8859076499938965,0.8859076499938965,0.9260952472686768,0.9409298896789552,0.7906976938247681,0.8846198916435242,0.8846198916435242,0.9057376980781556,0.9183559417724608,0.8297659754753113,0.307457834482193,0.8853304386138916,0.8853304386138916,0.8862559199333191,0.8968397974967957,0.8728955984115601,0.8859076499938965,0.8859076499938965,0.9260952472686768,0.9409298896789552,0.7906976938247681,0.9429623484611512,0.9429623484611512,0.940537452697754,0.9458841681480408,0.9424652457237244,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1475.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9089321494102478,0.4822567999362945,0.4822567999362945,0.9801037907600404,0.050000000745058,0.4166666567325592,0.5142390131950378,0.5142390131950378,0.9485140442848206,0.0869565233588218,0.5072463750839233,0.3210442662239074,0.6334595084190369,0.6334595084190369,0.9188969731330872,0.3333333432674408,0.6481481194496155,0.4822567999362945,0.4822567999362945,0.9801037907600404,0.050000000745058,0.4166666567325592,0.8114205002784729,0.8114205002784729,0.4680851101875305,0.9984894394874572,0.9676870703697203,
11,1475.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9702694416046144,0.8931304812431335,0.8931304812431335,0.9382622241973876,0.9398324489593506,0.8012967109680176,0.8919517397880554,0.8919517397880554,0.9147315621376038,0.9207237362861632,0.840399980545044,0.2867209017276764,0.8927481174468994,0.8927481174468994,0.892352283000946,0.9023765921592712,0.8835155367851257,0.8931304812431335,0.8931304812431335,0.9382622241973876,0.9398324489593506,0.8012967109680176,0.946583092212677,0.946583092212677,0.9434069991111756,0.949104070663452,0.9472380876541138,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1598.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8572720289230347,0.5633039474487305,0.5633039474487305,0.7768166065216064,0.050000000745058,0.863095223903656,0.4747177064418793,0.4747177064418793,0.8651252388954163,0.0555555559694767,0.5034722089767456,0.7379143238067627,0.4646596908569336,0.4646596908569336,0.976086974143982,0.0625,0.3553921580314636,0.5633039474487305,0.5633039474487305,0.7768166065216064,0.050000000745058,0.863095223903656,0.882669985294342,0.882669985294342,0.8829787373542786,0.9886707067489624,0.7763605713844299,
12,1598.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9696590304374696,0.888066291809082,0.888066291809082,0.910442054271698,0.9478095173835754,0.8059473633766174,0.8871152997016907,0.8871152997016907,0.8960990309715271,0.9281850457191468,0.8370619416236877,0.2978133857250213,0.8874109387397766,0.8874109387397766,0.8822008967399597,0.9093567132949828,0.8706754446029663,0.888066291809082,0.888066291809082,0.910442054271698,0.9478095173835754,0.8059473633766174,0.944042980670929,0.944042980670929,0.9392149448394777,0.9527348875999452,0.9401791095733644,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1721.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9090260863304138,0.5392541289329529,0.5392541289329529,0.9844290614128112,0.050000000745058,0.5833333134651184,0.5666953921318054,0.5666953921318054,0.9623678922653198,0.0799999982118606,0.6577181220054626,0.3257595896720886,0.6317066550254822,0.6317066550254822,0.9412738084793092,0.2000000029802322,0.7538461685180664,0.5392541289329529,0.5392541289329529,0.9844290614128112,0.050000000745058,0.5833333134651184,0.8640361428260803,0.8640361428260803,0.6223404407501221,0.9969788789749146,0.9727891087532043,
13,1721.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9741572737693788,0.9042240977287292,0.9042240977287292,0.9322162866592408,0.9580472707748412,0.8224085569381714,0.9033401608467102,0.9033401608467102,0.9110532402992249,0.9432970285415648,0.8556700944900513,0.2648107409477234,0.9038531184196472,0.9038531184196472,0.8908296823501587,0.9289940595626832,0.8917355537414551,0.9042240977287292,0.9042240977287292,0.9322162866592408,0.9580472707748412,0.8224085569381714,0.9521061778068542,0.9521061778068542,0.9428135752677916,0.963428556919098,0.9500762224197388,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1844.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8907861709594727,0.56846684217453,0.56846684217453,0.887543261051178,0.050000000745058,0.7678571343421936,0.5236606597900391,0.5236606597900391,0.9272480607032776,0.0465116277337074,0.5972222089767456,0.4337126016616821,0.5009288191795349,0.5009288191795349,0.9706717133522034,0.0434782616794109,0.4886363744735718,0.56846684217453,0.56846684217453,0.887543261051178,0.050000000745058,0.7678571343421936,0.9012313485145568,0.9012313485145568,0.835106372833252,0.9833837151527404,0.8852040767669678,
14,1844.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.975080907344818,0.9024409651756288,0.9024409651756288,0.9344761967658995,0.9492946863174438,0.8235518336296082,0.9015668034553528,0.9015668034553528,0.919415295124054,0.929104506969452,0.8561806678771973,0.2622269988059997,0.9020296931266784,0.9020296931266784,0.9048321843147278,0.9097552299499512,0.8915016651153564,0.9024409651756288,0.9024409651756288,0.9344761967658995,0.9492946863174438,0.8235518336296082,0.951219379901886,0.951219379901886,0.950829029083252,0.9529434442520142,0.9498856663703918,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1967.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9060229659080504,0.548344075679779,0.548344075679779,0.987889289855957,0.050000000745058,0.6071428656578064,0.5787504315376282,0.5787504315376282,0.965342342853546,0.0909090936183929,0.6800000071525574,0.2995482981204986,0.7388429641723633,0.7388429641723633,0.9438016414642334,0.5,0.7727272510528564,0.548344075679779,0.548344075679779,0.987889289855957,0.050000000745058,0.6071428656578064,0.8706774711608887,0.8706774711608887,0.6382978558540344,0.9992446899414062,0.9744898080825806,
